declining,fish,fishless
14.88577345,16.88855852,14.45732963
13.301261,16.67272604,14.57465444
15.16688115,19.14493689,14.53344092
15.15612913,18.24749596,14.24427023
14.41533803,19.32128231,13.89002517
14.56764197,20.12076806,16.12718197
15.1956218,19.50597545,14.04543904
16.00815046,18.06812028,15.24464913
17.11973125,18.93151011,14.22194951
15.83666408,18.42710801,15.33131353
16.02148434,18.54052694,15.37735116
15.40819094,18.97504658,16.52454175
14.8368851,18.69710495,14.23559084
13.650281,15.92127975,14.88314978
15.72269293,17.59999898,16.59803783
14.52913381,19.050546,15.1219228
11.90781772,18.48897282,16.63204474
14.61479339,15.85780275,15.28884497
16.01281955,16.08532103,14.53411436
13.96471714,17.54113269,14.29398803
15.05875501,17.414234,15.77470656
15.7914124,18.58320756,14.94891179
14.57147781,18.31486858,14.13717147
15.56131231,15.47227393,13.74356022
16.11041367,17.6353974,15.04732853
13.88199741,19.39725607,15.09624137
16.1565937,17.8433055,14.69402524
15.42148558,18.86864644,15.85154883
15.19117931,18.32404799,13.20970553
15.54864074,18.08143485,15.04552737
17.30925938,18.70874066,15.13223345
15.14518203,18.68005036,15.57281262
16.95577889,19.29765901,15.48430819
15.85938821,18.37257825,13.82330935
16.00332452,18.09421606,15.66713354
13.6287854,17.30681347,13.7889878
16.48347749,17.98065015,14.07357808
14.84741302,18.2025314,14.91932245
13.99648124,17.98315582,14.53254971
16.86863635,19.11626776,16.66212149
15.92983154,18.09630109,15.02490236
14.96640387,18.97073017,16.83603679
14.50501274,16.66308794,14.61555776
16.62893141,15.99978626,14.426558
12.88417399,18.832219,15.23178413
14.81271144,18.55321157,14.95483049
14.72280065,19.27659568,15.87573822
15.49398969,18.29665552,15.75151018
14.07215561,16.73062197,14.38443205
15.08987366,17.55676058,14.9283443