site,K
Site1,1.771565989
Site1,1.79499992
Site1,1.472303207
Site1,1.236656183
Site1,1.065289484
Site1,1.621585308
Site1,1.071840815
Site1,2.03606311
Site1,1.120225253
Site1,2.01167961
Site1,1.319754807
Site1,1.15901636
Site1,1.841045451
Site1,1.912818448
Site1,1.024418735
Site1,1.564181343
Site1,1.016569796
Site1,1.010776299
Site1,1.783743839
Site1,1.889920245
Site1,1.871235438
Site1,1.795461074
Site1,1.002395571
Site1,1.799835659
Site1,1.505712172
Site1,1.857907253
Site1,1.760578335
Site1,1.028573706
Site1,1.081559586
Site1,1.704371539
Site1,1.738708336
Site1,1.914688867
Site1,1.814658844
Site1,1.205505726
Site1,1.011999671
Site1,1.061959695
Site1,1.004103229
Site1,1.150582899
Site1,1.081141998
Site1,1.115886522
Site1,1.848612461
Site1,1.727378956
Site1,1.716000747
Site1,1.065233629
Site1,1.818181818
Site1,1.91974895
Site1,1.889320734
Site1,1.787434909
Site1,1.875
Site1,1.640758733
Site1,1.135298325
Site1,1.658487309
Site1,1.950607233
Site1,1.860624258
Site1,1.110802029
Site1,1.051089406
Site1,1.903494651
Site1,1.774313284
Site1,2.055933485
Site1,1.900453262
Site1,1.960516519
Site1,1.853240352
Site1,1.612069023
Site1,1.005258518
Site1,1.871982052
Site1,1.967277883
Site1,1.833208114
Site1,1.975440862
Site1,1.133734035
Site1,1.800248063
Site1,1.873921262
Site1,1.835649436
Site1,1.97219898
Site1,1.805420581
Site1,1.966904816
Site1,1.004665403
Site1,1.894067892
Site1,1.880787037
Site1,1.063685913
Site1,1.844121281
Site1,1.978876903
Site1,1.75260193
Site1,1.864864249
Site1,1.675432006
Site1,1.763200494
Site1,1.794862287
Site1,1.118707739
Site1,1.98
Site1,1.680203118
Site1,1.873678743
Site1,1.024272215
Site1,1.839434735
Site1,1.930879038
Site1,1.201352367
Site1,1.800804027
Site1,1.668097476
Site1,1.82784
Site1,1.756768168
Site1,1.675432006
Site1,1.087778794
Site1,1.63055678
Site1,1.986554039
Site1,1.776795057
Site1,1.968465391
Site1,1.724449872
Site1,1.700928221
Site1,1.59178086
Site1,1.62037037
Site1,1.682924351
Site1,1.923093269
Site1,1.729973642
Site1,1.613863473
Site1,1.637868694
Site1,1.674941131
Site1,1.91488
Site1,1.690200649
Site1,1.773276177
Site1,1.695601852
Site1,1.938657407
Site1,1.876265914
Site1,1.148760331
Site1,1.492404613
Site1,1.050104555
Site1,1.892842014
Site1,1.909159867
Site1,1.87916185
Site1,1.537630925
Site1,1.624585318
Site1,1.670842373
Site1,1.042809311
Site1,1.073210236
Site1,1.907571064
Site1,1.930948901
Site1,1.940469712
Site1,1.937168251
Site1,1.730324074
Site1,1.680203118
Site1,1.857737568
Site1,1.973571916
Site1,1.793841486
Site1,1.77321238
Site1,1.837796683
Site1,1.002914969
Site1,1.727650463
Site1,1.582413518
Site1,1.620465216
Site1,1.68468328
Site1,1.795642374
Site1,1.915721419
Site1,1.967277883
Site1,1.630353118
Site1,1.775374819
Site1,1.016255756
Site1,1.788129226
Site1,1.85588221
Site1,1.073210236
Site1,1.68
Site1,1.738579705
Site1,1.793981481
Site1,1.874527589
Site1,1.742588872
Site1,1.037291402
Site1,1.993558932
Site1,1.848586152
Site1,1.028549962
Site1,1.842602281
Site1,1.571787837
Site1,1.848600679
Site1,1.644750813
Site1,1.770867077
Site1,1.854195775
Site1,1.960592099
Site1,1.869322138
Site1,1.648338269
Site1,1.91
Site1,1.894067892
Site1,1.793686224
Site1,1.209963536
Site1,1.073859629
Site1,1.192744502
Site1,1.119532084
Site1,1.855098274
Site1,1.567532465
Site1,1.239761611
Site1,1.280092593
Site1,1.762143503
Site1,1.798730798
Site1,1.741123895
Site1,1.898871528
Site1,1.795642374
Site1,1.715390397
Site1,2.231610257
Site1,2.305772569
Site1,1.444913903
Site1,1.74
Site1,1.469336178
Site1,1.76
Site1,1.640083644
Site1,1.910137032
Site1,1.611026844
Site1,1.753590325
Site1,1.498035951
Site1,1.88353356
Site1,1.83658293
Site1,1.681573626
Site1,1.84322684
Site1,1.791943497
Site1,1.923061314
Site1,1.635598383
Site1,1.902452208
Site1,1.384518764
Site1,1.163189374
Site1,1.857250837
Site1,1.903940816
Site1,1.788345273
Site1,1.058025808
Site1,1.863325657
Site1,1.085397658
Site1,1.009121606
Site1,1.159908852
Site1,1.71875
Site1,1.800811522
Site1,1.054685105
Site1,1.921967037
Site1,1.560926391
Site1,1.634805354
Site1,1.975658755
Site1,1.903491116
Site1,1.825892618
Site1,1.905935772
Site1,1.75748383
Site1,1.039966341
Site1,1.614973353
Site1,1.564633591
Site1,1.762228701
Site1,1.031311211
Site1,1.704903399
Site1,1.753416911
Site1,1.586183063
Site1,1.866156825
Site1,1.729775719
Site1,1.864864249
Site1,1.752719542
Site1,1.733873096
Site1,1.520354173
Site1,1.71
Site1,1.196339982
Site1,1.978771492
Site1,1.086080988
Site1,1.071902149
Site1,1.868684022
Site1,1.914688867
Site1,1.857250837
Site1,1.829767865
Site1,1.035691509
Site1,1.986038788
Site1,1.805420581
Site1,1.711314903
Site1,1.935357994
Site1,1.694019136
Site1,1.153975218
Site1,1.529896441
Site1,1.697576235
Site1,1.96682723
Site1,1.143502918
Site1,1.203899516
Site1,1.365437548
Site1,1.907921884
Site1,1.342509548
Site1,1.133390053
Site1,1.890492867
Site1,1.840042968
Site1,1.77818422
Site1,1.889644747
Site1,1.037037037
Site1,1.674148938
Site2,1.947853188
Site2,2.074538083
Site2,1.94640387
Site2,1.854380553
Site2,1.854380553
Site2,1.776795057
Site2,1.637402117
Site2,1.898148148
Site2,1.714677641
Site2,1.865569273
Site2,1.526562182
Site2,1.550995062
Site2,1.594796952
Site2,1.646454315
Site2,1.792
Site2,1.88416
Site2,1.81156122
Site2,2.507829386
Site2,1.917598071
Site2,2.121768651
Site2,1.920232135
Site2,1.998851941
Site2,1.926355432
Site2,0.269568968
Site2,1.60982682
Site2,1.602172852
Site2,1.762277198
Site2,2.330889918
Site2,2.055990064
Site2,1.71142467
Site2,1.894431693
Site2,1.929012346
Site2,1.796146171
Site2,2.052202465
Site2,2.044999732
Site2,1.822423094
Site2,1.913544248
Site2,1.803155522
Site2,1.396448366
Site2,1.917278569
Site2,1.783735623
Site2,1.851851852
Site2,2.5
Site2,1.795433614
Site2,1.714677641
Site2,1.746527492
Site2,1.801547383
Site2,1.944444444
Site2,1.651330175
Site2,1.954967743
Site2,2.260212049
Site2,1.884361261
Site2,1.845523182
Site2,1.249794193
Site2,1.684231469
Site2,2.209688001
Site2,1.678359236
Site2,1.507715735
Site2,1.883058999
Site2,1.614893735
Site2,1.586640487
Site2,1.681044611
Site2,1.517220452
Site2,1.529974755
Site2,1.678359236
Site2,1.619695497
Site2,2.014031083
Site2,2.222222222
Site2,2.8125
Site2,0.911078717
Site2,1.69997195
Site2,1.92336589
Site2,1.751208816
Site2,1.653266164
Site2,1.698928009
Site2,1.741123895
Site2,2.239194944
Site2,1.854380553
Site2,1.653775697
Site2,1.945495605
Site2,1.875505893
Site2,1.780989212
Site2,1.858372259
Site2,1.884644669
Site2,1.480849241
Site2,1.690670144
Site2,1.795433614
Site2,1.69997195
Site2,1.83003766
Site2,1.586713298
Site2,1.668577066
Site2,1.61128812
Site2,2.00938786
Site2,1.632653061
Site2,1.930113121
Site2,1.594441274
Site2,1.656484481
Site2,1.910174154
Site2,1.870488427
Site2,1.658083843
Site2,1.760204082
Site2,1.9921875
Site2,1.690799167
Site2,1.776862516
Site2,1.938488244
Site2,1.507715735
Site2,1.397500989
Site2,1.835240912
Site2,1.7152
Site2,1.886260519
Site2,1.895179926
Site2,1.784251252
Site2,1.826150475
Site2,1.690962099
Site2,1.682945154
Site2,1.569508499
Site2,2.133582851
Site2,1.714677641
Site2,1.799661664
Site2,1.668577066
Site2,1.727290226
Site2,1.54105367
Site2,2.03125
Site2,1.682945154
Site2,1.466234778
Site2,1.98263628
Site2,1.759260603
Site2,1.622783886
Site2,1.769065857
Site2,1.617155086
Site2,1.679684219
Site2,1.84350391
Site2,2.142380672
Site2,1.826433979
Site2,1.895179926
Site2,2.098083496
Site2,1.983471074
Site2,2.044999732
Site2,1.613935498
Site2,1.547934677
Site2,1.883417555
Site2,1.635599455
Site2,1.776729687
Site2,1.696186351
Site2,1.658806066
Site2,1.686761972
Site2,1.876822157
Site2,1.776527787
Site2,1.918897864
Site2,1.704671714
Site2,1.850828184
Site2,2.028175008
Site2,1.653775697
Site2,1.898928323
Site2,1.71142467
Site2,1.675011379
Site2,1.784970548
Site2,1.795993413
Site2,1.552482293
Site2,1.749185834
Site2,1.695687302
Site2,1.56605562
Site2,1.664932362
Site2,1.645172319
Site2,1.625672543
Site2,1.966317706
Site2,1.5625
Site2,1.762277198
Site2,1.971809485
Site2,1.841690799
Site2,2.050104555
Site2,1.959631589
Site2,2.083333333
Site2,1.879646626
Site2,1.900183602
Site2,1.839654145
Site2,1.898871528
Site2,1.971809485
Site2,1.71142467
Site2,1.850237853
Site2,1.856874545
Site2,1.863260706
Site2,2.202827549
Site2,1.983471074
Site2,1.905197378
Site2,2.20471097
Site2,2.014031083
Site2,1.983471074
Site2,1.983471074
Site2,1.999624071
Site2,1.818207695
Site2,1.798991306
Site2,1.692771912
Site2,1.728936073
Site2,1.839654145
Site2,2.094672549
Site2,1.857077833
Site2,1.839460676
Site2,1.629008746
Site2,1.702308655
Site2,1.70852165
Site2,1.979347946
Site2,1.720318217
Site2,1.879099854
Site2,1.728936073
Site2,1.938488244
Site2,1.765215015
Site2,1.755829904
Site2,1.617413807
Site2,1.919639108
Site2,1.749185834
Site2,1.936042274
Site2,1.71661377
Site2,1.704334318
Site2,1.674148938
Site2,1.643790581
Site2,2.223825988
Site2,2.050104555
Site2,2.070657896
Site2,1.704166444
Site2,1.803155522
Site2,1.669588446
Site2,1.613350015
Site2,1.755829904
Site2,1.991351843
Site2,2.035416243
Site2,2.085048011
Site2,2.054738226
Site2,1.849112426
Site2,2.103681443
Site2,1.959631589
Site2,1.691336258
Site2,1.850237853
Site2,1.865569273
Site2,1.920232135
Site2,1.84619516
Site2,1.907348633
Site2,1.720926466
Site2,1.947599328
Site2,1.997915688
Site2,1.773937724
Site2,1.720116618
Site2,1.661093964
Site2,1.646090535
Site2,1.877664395
Site2,1.875453059
Site2,1.606785504
Site2,2.08
Site2,1.851851852
Site2,1.780989212
Site2,2.086985558
Site2,1.621972318
Site2,1.717382455
Site2,1.655475974
Site2,1.944444444
Site2,1.930113121
Site2,1.714677641
Site2,2.085048011
Site2,1.966317706
Site2,1.999624071
Site2,1.982544794
Site2,1.669588446
Site2,1.813670724
Site2,1.603055246
Site2,1.740897201
Site2,1.741297707
Site2,1.675011379
Site2,1.706666667
Site2,1.676394411
Site2,1.784251252
Site2,1.784251252
Site2,1.764566292
Site2,1.599699257
Site2,1.627604167
Site2,1.69178611
Site2,1.702761929
Site2,1.76226204
Site2,1.695687302
Site2,1.84619516
Site2,1.662507289
Site2,1.959631589
Site2,1.846734183
Site2,1.928710938
Site2,1.781169062
Site2,1.930113121
Site2,1.79935308
Site2,1.938670578
Site2,1.851139875
Site2,1.899995622
Site2,1.614021474
Site2,1.84350391
Site2,1.630092387
Site2,1.704671714
Site2,1.848636831
Site2,1.749271137
Site2,2.069970845
Site2,1.908202727
Site2,1.924198251
Site2,1.452875156
Site2,2.067553107
Site2,1.799407224
Site2,1.84459597
Site2,1.533295512
Site2,1.773127613
Site2,1.717382455
Site2,1.84459597
Site2,2.028175008
Site2,1.59257469
Site2,1.834490741
Site2,1.850828184
Site2,1.690962099
Site2,1.762184843
Site2,1.727927081
Site2,1.665808609
Site2,1.670878136
Site2,1.687885802
Site2,1.653775697
Site2,1.955804184
Site2,1.599008177
Site2,1.653775697
Site2,1.643790581
Site2,1.621972318
Site2,1.898148148
Site2,1.895043732
Site3,1.433970414
Site3,1.638598088
Site3,1.509301068
Site3,1.25775089
Site3,1.635850858
Site3,1.09375
Site3,1.669588446
Site3,1.854380553
Site3,3.429355281
Site3,1.755829904
Site3,1.5625
Site3,1.83003766
Site3,1.408715252
Site3,1.947853188
Site3,1.5625
Site3,1.408715252
Site3,1.509301068
Site3,1.071673525
Site3,1.512790133
Site3,1.849264404
Site3,1.889644747
Site3,2.360120703
Site3,1.562692219
Site3,1.632653061
Site3,1.646090535
Site3,1.646090535
Site3,1.849264404
Site3,1.875
Site3,1.865889213
Site3,1.71802662
Site3,1.727945515
Site3,2
Site3,1.643790581
Site3,2.857796068
Site3,1.430706617
Site3,2.044999732
Site3,1.530965147
Site3,1.97421673
Site3,1.869969146
Site3,1.991351843
Site3,1.348448802
Site3,1.529974755
Site3,1.760851246
Site3,1.40625
Site3,1.714677641
Site3,1.706873009
Site3,1.45093658
Site3,1.992984694
Site3,1.593081475
Site3,1.886626335
Site3,2.379053753
Site3,1.746527492
Site3,1.40625
Site3,1.442524418
Site3,1.959743084
Site3,1.540740741
Site3,2.260561343
Site3,1.19802985
Site3,1.777992717
Site3,1.602172852
Site3,1.529358216
Site3,1.71142467
Site3,1.582909448
Site3,1.659259259
Site3,1.86920166
Site3,1.77424195
Site3,1.839654145
Site3,1.898148148
Site3,1.781924803
Site3,2.083333333
Site3,1.762277198
Site3,1.863260706
Site3,1.993284166
Site3,2.062971536
Site3,1.795993413
Site3,2.12792132
Site3,1.831054688
Site3,1.959104826
Site4,1.632373114
Site4,1.526562182
Site4,1.807009558
Site4,1.676666393
Site4,1.781924803
Site4,1.743050338
Site4,2.277696793
Site4,2.051913409
Site4,2.159593996
Site4,1.871973759
Site4,2.003612864
Site4,2.028175008
Site4,2.110802029
Site4,1.971809485
Site4,1.619695497
Site4,1.95335277
Site4,1.795433614
Site4,1.619931639
Site4,1.712962963
Site4,1.945495605
Site4,2.037037037
Site4,1.632653061
Site4,1.784251252
Site4,1.679238566
Site4,1.99567994
Site4,1.920232135
Site4,1.643790581
Site4,1.816093945
Site4,1.679238566
Site4,1.777992717
Site4,1.926355432
Site4,1.784970548
Site4,1.806318591
Site4,1.896346714
Site4,1.765215015
Site4,1.972072102
Site4,1.795433614
Site4,1.706873009
Site4,1.583101522
Site4,1.682632106
Site4,1.994926238
Site4,2.028175008
Site4,1.638598088
Site4,1.808449074
Site4,1.759259259
Site4,1.685579076
Site4,1.731301939
Site4,1.666666667
Site4,1.809258882
Site4,1.76226204
Site4,1.929904415
Site4,1.924198251
Site4,1.486325803
Site4,1.675011379
Site4,1.442524418
Site4,1.732274225
Site4,1.778425656
Site4,1.778425656
Site4,1.727945515
Site4,1.727927081
Site4,1.929904415
Site4,1.666666667
Site4,2.159908852
Site4,1.733719889
Site4,2.114714447
Site4,1.704371539
