Site,Transect (m),Flour before acid (Rb),Flour after acid (Ra),Flour Difference (before-after),Dilution,Diff*Dilution,Gain,Fs,Tau,mls DI,mls Filtered,area sampled (cm2),chla in extract (ug),area filtered (cm2),chla ug/cm2,chla mg/m2
1,5,101,96,5,10,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
1,15,173,141,32,1,32,10,25,35,500,100,15.9279,41.18,3.18558,12.92589437,129.2589437
1,25,14,7,7,1,7,10,25,35,500,100,15.9279,9.01,3.18558,2.827539394,28.27539394
1,35,194,87,107,10,1070,10,25,35,500,100,15.9279,1376.84,3.18558,432.209593,4322.09593
1,45,91,43,48,10,480,10,25,35,500,100,15.9279,617.65,3.18558,193.8884156,1938.884156
1,55,763,348,415,1,415,10,25,35,500,100,15.9279,534.01,3.18558,167.6326926,1676.326926
1,65,169,78,91,10,910,10,25,35,500,100,15.9279,1170.96,3.18558,367.5801212,3675.801212
1,75,89,55,34,1,34,10,25,35,500,100,15.9279,43.75,3.18558,13.73376277,137.3376277
1,85,111,69,42,10,420,10,25,35,500,100,15.9279,540.44,3.18558,169.6523636,1696.523636
1,95,48,24,24,1,24,10,25,35,500,100,15.9279,30.88,3.18558,9.694420778,96.94420778
2,5,69,41,28,1,28,10,25,35,500,100,15.9279,36.03,3.18558,11.31015757,113.1015757
2,15,265,132,133,1,133,10,25,35,500,100,15.9279,171.14,3.18558,53.72324848,537.2324848
2,25,20,9,11,1,11,10,25,35,500,100,15.9279,14.15,3.18558,4.44327619,44.4327619
2,35,361,173,188,1,188,10,25,35,500,100,15.9279,241.91,3.18558,75.93962943,759.3962943
2,45,823,475,348,1,348,10,25,35,500,100,15.9279,447.79,3.18558,140.5691013,1405.691013
2,55,294,178,116,1,116,10,25,35,500,100,15.9279,149.26,3.18558,46.85636709,468.5636709
2,65,476,276,200,1,200,10,25,35,500,100,15.9279,257.35,3.18558,80.78683981,807.8683981
2,75,136,86,50,1,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
2,85,865,433,432,1,432,10,25,35,500,100,15.9279,555.88,3.18558,174.499574,1744.99574
2,95,760,389,371,1,371,10,25,35,500,100,15.9279,477.39,3.18558,149.8595879,1498.595879
3,5,244,162,82,1,82,10,25,35,500,100,15.9279,105.51,3.18558,33.12260432,331.2260432
3,15,922,571,351,1,351,10,25,35,500,100,15.9279,451.65,3.18558,141.7809039,1417.809039
3,25,116,71,45,10,450,10,25,35,500,100,15.9279,579.04,3.18558,181.7703896,1817.703896
3,35,416,229,187,10,1870,10,25,35,500,100,15.9279,2406.25,3.18558,755.3569523,7553.569523
3,45,361,270,91,1,91,10,25,35,500,100,15.9279,117.10,3.18558,36.75801212,367.5801212
3,55,512,310,202,1,202,10,25,35,500,100,15.9279,259.93,3.18558,81.59470821,815.9470821
3,65,228,150,78,10,780,10,25,35,500,100,15.9279,1003.68,3.18558,315.0686753,3150.686753
3,75,454,257,197,1,197,10,25,35,500,100,15.9279,253.49,3.18558,79.57503722,795.7503722
3,85,668,420,248,1,248,10,25,35,500,100,15.9279,319.12,3.18558,100.1756814,1001.756814
3,95,357,214,143,10,1430,10,25,35,500,100,15.9279,1840.07,3.18558,577.6259047,5776.259047
4,5,745,363,382,1,382,10,25,35,500,100,15.9279,491.54,3.18558,154.302864,1543.02864
4,15,165,130,35,10,350,10,25,35,500,100,15.9279,450.37,3.18558,141.3769697,1413.769697
4,25,923,543,380,1,380,10,25,35,500,100,15.9279,488.97,3.18558,153.4949956,1534.949956
4,35,613,352,261,1,261,10,25,35,500,100,15.9279,335.85,3.18558,105.426826,1054.26826
4,45,199,118,81,1,81,10,25,35,500,100,15.9279,104.23,3.18558,32.71867012,327.1867012
4,55,130,93,37,10,370,10,25,35,500,100,15.9279,476.10,3.18558,149.4556537,1494.556537
4,65,427,268,159,1,159,10,25,35,500,100,15.9279,204.60,3.18558,64.22553765,642.2553765
4,75,269,178,91,10,910,10,25,35,500,100,15.9279,1170.96,3.18558,367.5801212,3675.801212
4,85,128,79,49,1,49,10,25,35,500,100,15.9279,63.05,3.18558,19.79277575,197.9277575
4,95,771,467,304,1,304,10,25,35,500,100,15.9279,391.18,3.18558,122.7959965,1227.959965
5,5,29,24,5,1,5,10,25,35,500,100,15.9279,6.43,3.18558,2.019670995,20.19670995
5,15,106,93,13,1,13,10,25,35,500,100,15.9279,16.73,3.18558,5.251144588,52.51144588
5,25,10,8,2,1,2,10,25,35,500,100,15.9279,2.57,3.18558,0.807868398,8.078683981
5,35,9,8,1,1,1,10,25,35,500,100,15.9279,1.29,3.18558,0.403934199,4.039341991
5,45,27,24,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
5,55,49,46,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
5,65,0,0,0,1,0,10,25,35,500,100,15.9279,0.00,3.18558,0,0
5,75,799,683,116,1,116,10,25,35,500,100,15.9279,149.26,3.18558,46.85636709,468.5636709
5,85,6,3,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
5,95,134,109,25,10,250,10,25,35,500,100,15.9279,321.69,3.18558,100.9835498,1009.835498
6,5,39,34,5,1,5,10,25,35,500,100,15.9279,6.43,3.18558,2.019670995,20.19670995
6,15,25,22,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
6,25,6,5,1,1,1,10,25,35,500,100,15.9279,1.29,3.18558,0.403934199,4.039341991
6,35,72,64,8,1,8,10,25,35,500,100,15.9279,10.29,3.18558,3.231473593,32.31473593
6,45,390,340,50,1,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
6,55,6,3,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
6,65,250,222,28,10,280,10,25,35,500,100,15.9279,360.29,3.18558,113.1015757,1131.015757
6,75,39,32,7,1,7,10,25,35,500,100,15.9279,9.01,3.18558,2.827539394,28.27539394
6,85,14,11,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
6,95,4,3,1,1,1,10,25,35,500,100,15.9279,1.29,3.18558,0.403934199,4.039341991
7,5,2,0,2,1,2,10,25,35,500,100,15.9279,2.57,3.18558,0.807868398,8.078683981
7,15,44,38,6,1,6,10,25,35,500,100,15.9279,7.72,3.18558,2.423605194,24.23605194
7,25,234,205,29,1,29,10,25,35,500,100,15.9279,37.32,3.18558,11.71409177,117.1409177
7,35,125,104,21,10,210,10,25,35,500,100,15.9279,270.22,3.18558,84.82618181,848.2618181
7,45,63,53,10,1,10,10,25,35,500,100,15.9279,12.87,3.18558,4.039341991,40.39341991
7,55,42,32,10,1,10,10,25,35,500,100,15.9279,12.87,3.18558,4.039341991,40.39341991
7,65,11,8,3,1,3,10,25,35,500,100,15.9279,3.86,3.18558,1.211802597,12.11802597
7,75,163,130,33,1,33,10,25,35,500,100,15.9279,42.46,3.18558,13.32982857,133.2982857
7,85,13,12,1,1,1,10,25,35,500,100,15.9279,1.29,3.18558,0.403934199,4.039341991
7,95,43,38,5,1,5,10,25,35,500,100,15.9279,6.43,3.18558,2.019670995,20.19670995
8,5,58,49,9,1,9,10,25,35,500,100,15.9279,11.58,3.18558,3.635407792,36.35407792
8,15,376,330,46,1,46,10,25,35,500,100,15.9279,59.19,3.18558,18.58097316,185.8097316
8,25,56,47,9,1,9,10,25,35,500,100,15.9279,11.58,3.18558,3.635407792,36.35407792
8,35,13,11,2,1,2,10,25,35,500,100,15.9279,2.57,3.18558,0.807868398,8.078683981
8,45,85,75,10,1,10,10,25,35,500,100,15.9279,12.87,3.18558,4.039341991,40.39341991
8,55,104,96,8,10,80,10,25,35,500,100,15.9279,102.94,3.18558,32.31473593,323.1473593
8,65,41,34,7,1,7,10,25,35,500,100,15.9279,9.01,3.18558,2.827539394,28.27539394
8,75,39,34,5,1,5,10,25,35,500,100,15.9279,6.43,3.18558,2.019670995,20.19670995
8,85,90,72,18,1,18,10,25,35,500,100,15.9279,23.16,3.18558,7.270815583,72.70815583
8,95,116,111,5,10,50,10,25,35,500,100,15.9279,64.34,3.18558,20.19670995,201.9670995
