Site,Epifaunal Substrate,Embeddedness,Velocity/Depth,Sedminent Deposition,Channel Flow Status,Channel Alteration,Frequency of Riffles,Left Bank Stability,Right Bank Stability,Left Bank Vegetation,Right Bank Vegetaion,Left BankRiparian Vegitative Zone Width,Right BankRiparian Vegitative Zone Width,Physical Habitat Quality Score
1,14,11,3,12,7,7,19,3,10,3,6,6,10,344
1,12,11,5,13,6,8,17,4,8,4,8,5,13,348
1,13,13,6,12,7,8,20,5,7,5,5,6,14,346
2,12,12,2,11,7,7,25,2,9,2,8,6,13,340
2,10,14,3,13,8,6,22,3,8,2,7,6,12,348
2,12,13,1,12,5,8,28,1,7,3,7,6,11,344
3,14,15,4,10,6,9,21,6,6,2,8,5,13,344
3,15,12,3,11,5,6,19,5,8,3,8,4,12,344
3,13,11,5,10,7,8,19,4,9,4,9,5,10,344
4,12,10,14,12,7,19,21,11,9,7,7,10,10,456
4,11,11,12,10,7,20,22,12,10,8,7,11,11,458
4,14,13,14,11,8,20,20,10,10,8,8,10,10,457
5,15,15,12,13,6,19,18,10,9,8,9,11,10,456
5,11,16,15,10,5,20,19,9,10,7,8,12,10,455
5,12,10,13,12,7,19,18,11,9,9,9,10,10,456
6,10,12,13,14,6,20,17,10,8,6,7,12,9,444
6,10,14,12,12,8,19,19,11,11,7,8,13,11,445
6,12,12,10,12,8,20,16,10,10,7,7,12,10,445