site,site_number,location,sample,weight,length
frog,1,downstream,1,0.9,8.2
frog,1,downstream,2,1.28,9
frog,1,downstream,3,0.7,7.6
frog,1,downstream,4,0.97,8.1
frog,1,downstream,5,1.29,9.3
frog,1,downstream,6,1.81,10.1
frog,1,downstream,7,0.5,7.1
frog,1,downstream,8,1.66,10.1
frog,1,downstream,9,1.3,9.4
frog,1,downstream,10,1.2,8.8
frog,1,downstream,11,1.65,10.8
frog,1,downstream,12,1.65,9.9
frog,1,downstream,13,0.71,7.4
frog,1,downstream,14,1.45,9.7
frog,1,downstream,15,1.6,9.5
frog,1,downstream,16,1.89,10.3
frog,1,downstream,17,2.35,10.8
frog,1,downstream,18,0.74,7.5
frog,1,downstream,19,1.53,9.6
frog,1,downstream,20,0.46,6.7
frog,1,downstream,21,1.05,8.5
frog,1,downstream,22,0.3,6.3
frog,1,downstream,23,0.44,6.5
frog,1,downstream,24,0.6,8.2
frog,1,downstream,25,1.07,10
frog,1,downstream,26,1.23,8.7
frog,1,downstream,27,0.98,8
frog,1,downstream,28,1.31,8.9
frog,1,downstream,29,1.83,10
frog,1,downstream,30,0.47,7.7
frog,1,downstream,31,0.55,6.5
frog,1,downstream,32,1.86,10.1
frog,1,downstream,33,1.13,8.7
frog,1,downstream,34,0.67,7.6
frog,1,downstream,35,2.02,10.6
frog,1,downstream,36,1.15,10
frog,1,downstream,37,1.4,9.7
frog,1,downstream,38,0.51,6.7
frog,1,downstream,39,1.34,8.8
frog,1,downstream,40,0.44,7.3
frog,1,downstream,41,1.39,10.5
frog,1,downstream,42,0.93,8.8
frog,1,downstream,43,1.13,9.3
frog,1,downstream,44,0.85,8.6
frog,1,downstream,45,0.33,6.6
frog,1,downstream,46,2.01,10.2
frog,1,downstream,47,0.94,8
frog,1,downstream,48,2.06,10.5
frog,1,downstream,49,2.06,10.3
frog,1,downstream,50,0.64,8.5
frog,1,downstream,51,1.22,9
frog,1,downstream,52,0.57,7
frog,1,downstream,53,0.77,8
frog,1,downstream,54,0.42,6.4
newt,2,downstream,1,1.05,8.6
newt,2,downstream,2,0.33,6.5
newt,2,downstream,3,1.02,8.2
newt,2,downstream,4,0.81,9.1
newt,2,downstream,5,0.45,6.4
newt,2,downstream,6,0.55,7.2
newt,2,downstream,7,1.59,9.6
newt,2,downstream,8,0.94,8.1
newt,2,downstream,9,2.17,10.8
newt,2,downstream,10,1.98,10.6
newt,2,downstream,11,1.32,9.3
newt,2,downstream,12,1.25,8.9
newt,2,downstream,13,0.44,6.3
newt,2,downstream,14,1.51,9.8
newt,2,downstream,15,0.95,7.7
newt,2,downstream,16,0.4,6.4
newt,2,downstream,17,1.48,9.4
newt,2,downstream,18,1.56,10
newt,2,downstream,19,1.18,9
newt,2,downstream,20,1.88,10.3
newt,2,downstream,21,1.42,9.5
newt,2,downstream,22,0.47,6.9
newt,2,downstream,23,1.59,10.7
newt,2,downstream,24,1.71,10
newt,2,downstream,25,0.72,7.3
newt,2,downstream,26,2.04,10.7
newt,2,downstream,27,1.18,9
newt,2,downstream,28,0.71,7.3
newt,2,downstream,29,0.89,8.1
newt,2,downstream,30,1.19,8.7
newt,2,downstream,31,1.17,9
newt,2,downstream,32,2.13,10.7
newt,2,downstream,33,0.71,7.4
newt,2,downstream,34,0.42,6.3
newt,2,downstream,35,0.72,7.5
newt,2,downstream,36,1.68,10
newt,2,downstream,37,0.98,8.2
newt,2,downstream,38,0.59,6.9
newt,2,downstream,39,2.22,10.8
newt,2,downstream,40,0.48,6.7
newt,2,downstream,41,1.73,10.2
newt,2,downstream,42,2.01,10.6
newt,2,downstream,43,2.21,10.9
newt,2,downstream,44,1.93,10.3
newt,2,downstream,45,0.51,6.7
newt,2,downstream,46,1.68,9.7
newt,2,downstream,47,1.87,10.4
newt,2,downstream,48,0.38,6.2
newt,2,downstream,49,1.69,9.7
newt,2,downstream,50,0.54,7.5
newt,2,downstream,51,0.64,7.1
newt,2,downstream,52,0.92,8.9
newt,2,downstream,53,0.99,8.2
newt,2,downstream,54,0.36,6.4
newt,2,downstream,55,2.02,10.3
newt,2,downstream,56,0.77,7.4
newt,2,downstream,57,1.76,10.3
salamander,3,downstream,1,1.52,9.9
salamander,3,downstream,2,1.25,8.8
salamander,3,downstream,3,1.21,9.5
salamander,3,downstream,4,0.44,6.7
salamander,3,downstream,5,0.93,8.4
salamander,3,downstream,6,0.96,8.8
salamander,3,downstream,7,1.06,8.9
salamander,3,downstream,8,0.98,9.7
salamander,3,downstream,9,0.59,7.3
salamander,3,downstream,10,1.96,10.2
salamander,3,downstream,11,0.9,7.8
salamander,3,downstream,12,0.43,6.8
salamander,3,downstream,13,2.02,10.9
salamander,3,downstream,14,0.49,6.7
salamander,3,downstream,15,0.54,6.9
salamander,3,downstream,16,1.96,10.6
salamander,3,downstream,17,0.78,7.5
salamander,3,downstream,18,1.56,9.4
salamander,3,downstream,19,2.16,10.5
salamander,3,downstream,20,0.88,8
salamander,3,downstream,21,0.45,6.4
salamander,3,downstream,22,1.61,9.3
salamander,3,downstream,23,0.56,7
salamander,3,downstream,24,0.88,7.8
salamander,3,downstream,25,1.43,10
salamander,3,downstream,26,1.28,9.6
salamander,3,downstream,27,0.42,6.5
salamander,3,downstream,28,1.96,10.4
salamander,3,downstream,29,0.64,7
salamander,3,downstream,30,0.58,8
salamander,3,downstream,31,0.89,8.7
salamander,3,downstream,32,0.38,6.3
salamander,3,downstream,33,2.22,10.8
salamander,3,downstream,34,0.37,6.4
salamander,3,downstream,35,2.04,10.6
salamander,3,downstream,36,1.42,9.4
salamander,3,downstream,37,1.78,10.7
salamander,3,downstream,38,0.5,6.3
salamander,3,downstream,39,0.55,7
salamander,3,downstream,40,2.38,10.8
salamander,3,downstream,41,0.88,8.6
salamander,3,downstream,42,0.86,7.9
salamander,3,downstream,43,0.86,8.5
salamander,3,downstream,44,1.92,11
salamander,3,downstream,45,0.6,7.2
salamander,3,downstream,46,1.41,9.7
salamander,3,downstream,47,0.67,8.1
salamander,3,downstream,48,0.82,8.8
salamander,3,downstream,49,2.3,10.9
salamander,3,downstream,50,1.91,10.6
salamander,3,downstream,51,0.73,7.8
salamander,3,downstream,52,0.67,7.3
salamander,3,downstream,53,0.72,7.7
salamander,3,downstream,54,2.15,10.9
salamander,3,downstream,55,1.5,9.3
salamander,3,downstream,56,1.57,9.6
salamander,3,downstream,57,0.6,6.9
salamander,3,downstream,58,1.09,8.3
salamander,3,downstream,59,2.24,10.8
salamander,3,downstream,60,1.67,9.7
salamander,3,downstream,61,1.28,9
salamander,3,downstream,62,1.86,10
salamander,3,downstream,63,1.37,10.1
salamander,3,downstream,64,1.58,9.9
lizard,4,upstream,1,0.48,6.7
lizard,4,upstream,2,1.82,9.8
lizard,4,upstream,3,3.14,10.6
lizard,4,upstream,4,1.96,10.4
lizard,4,upstream,5,2.93,10.4
lizard,4,upstream,6,0.47,6.2
lizard,4,upstream,7,1.47,9.7
lizard,4,upstream,8,0.89,7.7
lizard,4,upstream,9,0.6,7.1
lizard,4,upstream,10,0.49,6.7
lizard,4,upstream,11,2.91,10.4
lizard,4,upstream,12,1.04,7.7
lizard,4,upstream,13,0.4,6.1
lizard,4,upstream,14,0.93,7.9
lizard,4,upstream,15,0.51,6.2
lizard,4,upstream,16,0.89,8
lizard,4,upstream,17,2.07,9.9
lizard,4,upstream,18,2.27,10.4
lizard,4,upstream,19,1.68,8.6
lizard,4,upstream,20,1.43,9.2
lizard,4,upstream,21,1.48,8.3
lizard,4,upstream,22,3.17,10.6
lizard,4,upstream,23,0.53,6.5
lizard,4,upstream,24,0.7,6.5
lizard,4,upstream,25,0.52,6.4
lizard,4,upstream,26,1.22,8.8
lizard,4,upstream,27,0.48,6.2
lizard,4,upstream,28,0.38,6.1
lizard,4,upstream,29,0.72,7.4
lizard,4,upstream,30,0.98,8.2
lizard,4,upstream,31,0.67,7
lizard,4,upstream,32,0.53,6.3
lizard,4,upstream,33,0.8,7.6
lizard,4,upstream,34,1.69,10
lizard,4,upstream,35,1.62,9.5
lizard,4,upstream,36,1.1,8.3
lizard,4,upstream,37,1.16,7.7
lizard,4,upstream,38,1.5,9.6
lizard,4,upstream,39,0.71,7.2
lizard,4,upstream,40,1.83,10.3
lizard,4,upstream,41,2.03,9.8
lizard,4,upstream,42,1.42,9.3
lizard,4,upstream,43,0.68,7.1
lizard,4,upstream,44,1.55,9.1
lizard,4,upstream,45,0.49,6.5
lizard,4,upstream,46,0.41,6
lizard,4,upstream,47,0.81,7.4
lizard,4,upstream,48,2.15,10.8
lizard,4,upstream,49,0.68,7.3
lizard,4,upstream,50,1.45,9.1
lizard,4,upstream,51,1.96,10.1
lizard,4,upstream,52,0.42,6
lizard,4,upstream,53,2.09,9.2
lizard,4,upstream,54,1.27,8.8
lizard,4,upstream,55,0.56,6.7
lizard,4,upstream,56,0.6,7.2
lizard,4,upstream,57,0.96,8.1
lizard,4,upstream,58,0.41,6.2
lizard,4,upstream,59,0.4,6.2
lizard,4,upstream,60,0.99,7.1
lizard,4,upstream,61,0.95,8.1
lizard,4,upstream,62,1.35,8
lizard,4,upstream,63,2.74,10.1
lizard,4,upstream,64,0.72,7.4
lizard,4,upstream,65,2.6,10
lizard,4,upstream,66,1.09,7.4
lizard,4,upstream,67,1.04,7.3
lizard,4,upstream,68,1.28,8.9
lizard,4,upstream,69,0.65,7.1
lizard,4,upstream,70,0.62,6.8
lizard,4,upstream,71,1.23,7.7
lizard,4,upstream,72,1.33,8.9
lizard,4,upstream,73,1.66,9.8
lizard,4,upstream,74,0.81,7.5
lizard,4,upstream,75,1.85,9.9
lizard,4,upstream,76,1.55,9.3
lizard,4,upstream,77,2.23,9.4
lizard,4,upstream,78,2.1,10.4
lizard,4,upstream,79,1.37,9
lizard,4,upstream,80,0.85,8.1
lizard,4,upstream,81,0.85,7.8
lizard,4,upstream,82,0.87,8
lizard,4,upstream,83,1.55,9.7
lizard,4,upstream,84,0.69,6.3
lizard,4,upstream,85,1.58,9.6
lizard,4,upstream,86,1.68,8.6
lizard,4,upstream,87,1.47,8.2
lizard,4,upstream,88,0.42,6.2
lizard,4,upstream,89,2.84,10.3
lizard,4,upstream,90,3.13,10.5
lizard,4,upstream,91,2.66,10
lizard,4,upstream,92,1.15,8.6
lizard,4,upstream,93,0.41,6.1
lizard,4,upstream,94,1.26,8.6
lizard,4,upstream,95,2.04,9.1
lizard,4,upstream,96,1.12,8.4
lizard,4,upstream,97,0.83,7.8
lizard,4,upstream,98,1.45,9.1
lizard,4,upstream,99,1.21,8.6
lizard,4,upstream,100,2.23,10.5
lizard,4,upstream,101,0.67,6.3
lizard,4,upstream,102,0.59,6.8
lizard,4,upstream,103,0.96,8
lizard,4,upstream,104,1.06,8.7
lizard,4,upstream,105,2.33,10.9
lizard,4,upstream,106,0.43,6.3
lizard,4,upstream,107,1.36,9.3
lizard,4,upstream,108,1.59,8.3
lizard,4,upstream,109,1.1,8.5
lizard,4,upstream,110,0.94,7.1
lizard,4,upstream,111,1.08,7.4
lizard,4,upstream,112,2.24,10.8
lizard,4,upstream,113,1.54,8.4
lizard,4,upstream,114,0.81,6.7
snake,5,upstream,1,0.46,6.1
snake,5,upstream,2,1.25,8.9
snake,5,upstream,3,1.35,8.9
snake,5,upstream,4,1.13,8.7
snake,5,upstream,5,1.63,9.7
snake,5,upstream,6,0.72,7.4
snake,5,upstream,7,0.75,7.3
snake,5,upstream,8,1.21,8.7
snake,5,upstream,9,0.47,6.1
snake,5,upstream,10,1.11,8.3
snake,5,upstream,11,1.07,8.4
snake,5,upstream,12,0.86,8
snake,5,upstream,13,1.88,9
snake,5,upstream,14,0.93,7.3
snake,5,upstream,15,0.53,6.7
snake,5,upstream,16,1.59,10
snake,5,upstream,17,1.2,9.1
snake,5,upstream,18,3.14,10.8
snake,5,upstream,19,0.73,6.6
snake,5,upstream,20,0.89,7.7
snake,5,upstream,21,0.58,6.9
snake,5,upstream,22,0.74,7.6
snake,5,upstream,23,1.22,8.6
snake,5,upstream,24,1.3,8.9
snake,5,upstream,25,1.63,9.5
snake,5,upstream,26,0.43,6.3
snake,5,upstream,27,1.84,10
snake,5,upstream,28,0.62,7
snake,5,upstream,29,1.51,9.7
snake,5,upstream,30,2.39,10.8
snake,5,upstream,31,2.39,11
snake,5,upstream,32,2.18,10.5
snake,5,upstream,33,1.98,10.4
snake,5,upstream,34,1.87,10.6
snake,5,upstream,35,1.49,9.9
snake,5,upstream,36,0.86,7.9
snake,5,upstream,37,1.12,7.7
snake,5,upstream,38,2,10.5
snake,5,upstream,39,1.5,8.9
snake,5,upstream,40,1.55,9.6
snake,5,upstream,41,1.17,8.2
snake,5,upstream,42,1.92,9.6
snake,5,upstream,43,0.71,7
snake,5,upstream,44,0.78,7.2
snake,5,upstream,45,0.95,7.8
snake,5,upstream,46,2.69,10.4
snake,5,upstream,47,0.44,6.1
snake,5,upstream,48,1.36,8.8
snake,5,upstream,49,1.26,8.4
snake,5,upstream,50,1.39,8.8
snake,5,upstream,51,2.13,10.1
snake,5,upstream,52,1.32,8.6
snake,5,upstream,53,0.5,6.2
snake,5,upstream,54,1.26,8.4
snake,5,upstream,55,1.92,9.8
snake,5,upstream,56,2.29,10.6
snake,5,upstream,57,0.94,7.8
snake,5,upstream,58,2.04,10.1
snake,5,upstream,59,0.77,7.2
snake,5,upstream,60,0.63,7.1
snake,5,upstream,61,1.45,8.9
snake,5,upstream,62,2.5,10
snake,5,upstream,63,0.47,6.3
snake,5,upstream,64,0.72,7
snake,5,upstream,65,1.77,9.6
snake,5,upstream,66,1.15,8.3
snake,5,upstream,67,1.18,8.4
snake,5,upstream,68,0.6,6.5
snake,5,upstream,69,2.34,10.7
snake,5,upstream,70,1.71,9.6
snake,5,upstream,71,0.51,6.4
snake,5,upstream,72,1.78,9.7
snake,5,upstream,73,2.2,10.1
snake,5,upstream,74,0.88,7.7
snake,5,upstream,75,1.37,8.6
snake,5,upstream,76,0.63,6.6
snake,5,upstream,77,1.13,8.3
snake,5,upstream,78,1.48,9.1
snake,5,upstream,79,1.19,8.4
snake,5,upstream,80,0.51,6.3
snake,5,upstream,81,0.96,8.1
snake,5,upstream,82,2.52,11
snake,5,upstream,83,0.54,6.4
snake,5,upstream,84,0.57,6.5
snake,5,upstream,85,1.23,8.4
snake,5,upstream,86,0.47,6.2
snake,5,upstream,87,0.91,8
snake,5,upstream,88,1.8,9.4
snake,5,upstream,89,2.16,10.8
snake,5,upstream,90,1.55,9.5
snake,5,upstream,91,0.56,6.5
snake,5,upstream,92,0.52,6.3
snake,5,upstream,93,1.57,9.2
snake,5,upstream,94,2.31,10.4
snake,5,upstream,95,1.51,9
snake,5,upstream,96,1.55,9.4
snake,5,upstream,97,1.76,9.7
snake,5,upstream,98,0.56,6.9
snake,5,upstream,99,1.8,9.4
snake,5,upstream,100,0.95,7.8
snake,5,upstream,101,0.62,7
snake,5,upstream,102,2.08,10.5
snake,5,upstream,103,2.97,10.4
snake,5,upstream,104,0.59,7
snake,5,upstream,105,0.77,7
snake,5,upstream,106,0.95,8.1
snake,5,upstream,107,0.8,7.7
snake,5,upstream,108,1.43,8.2
snake,5,upstream,109,1.19,8.8
snake,5,upstream,110,2.04,10.2
snake,5,upstream,111,0.53,6.8
snake,5,upstream,112,1.09,8.1
snake,5,upstream,113,2.08,10.1
snake,5,upstream,114,1.41,9.2
snake,5,upstream,115,0.79,7.8
snake,5,upstream,116,2.98,10.6
snake,5,upstream,117,0.87,7
snake,5,upstream,118,0.44,6.4
snake,5,upstream,119,1.35,9
snake,5,upstream,120,1.01,7.8
snake,5,upstream,121,1.91,10.3
snake,5,upstream,122,1.07,8.4
snake,5,upstream,123,0.77,7.5
snake,5,upstream,124,0.59,6.7
snake,5,upstream,125,1.09,8.6
turtle,6,upstream,1,1.89,9
turtle,6,upstream,2,0.71,7.4
turtle,6,upstream,3,0.69,7.1
turtle,6,upstream,4,2.12,10.8
turtle,6,upstream,5,2.52,10.7
turtle,6,upstream,6,0.69,7
turtle,6,upstream,7,2.29,10.8
turtle,6,upstream,8,0.89,8.1
turtle,6,upstream,9,2.81,10.4
turtle,6,upstream,10,2.95,10.5
turtle,6,upstream,11,2.22,11
turtle,6,upstream,12,0.81,7.6
turtle,6,upstream,13,1.71,9.3
turtle,6,upstream,14,2.32,11
turtle,6,upstream,15,1.5,9.4
turtle,6,upstream,16,1.88,10.1
turtle,6,upstream,17,0.67,7
turtle,6,upstream,18,1.38,9.3
turtle,6,upstream,19,0.96,7.8
turtle,6,upstream,20,1.34,9.1
turtle,6,upstream,21,0.72,7.2
turtle,6,upstream,22,1.52,9.6
turtle,6,upstream,23,0.79,7.6
turtle,6,upstream,24,2.29,10.9
turtle,6,upstream,25,1.06,8.2
turtle,6,upstream,26,0.77,7.5
turtle,6,upstream,27,0.95,7.7
turtle,6,upstream,28,1.61,9.4
turtle,6,upstream,29,1.37,9.1
turtle,6,upstream,30,1.44,9.5
turtle,6,upstream,31,0.88,7
turtle,6,upstream,32,2.77,10.5
turtle,6,upstream,33,1.42,9.3
turtle,6,upstream,34,0.57,7.1
turtle,6,upstream,35,0.88,8.2
turtle,6,upstream,36,1.53,8.5
turtle,6,upstream,37,2.87,10.4
turtle,6,upstream,38,0.61,6.8
turtle,6,upstream,39,1.02,8.3
turtle,6,upstream,40,0.71,7.5
turtle,6,upstream,41,0.6,6.8
turtle,6,upstream,42,1.43,9.2
turtle,6,upstream,43,0.74,7.3
turtle,6,upstream,44,0.67,7.3
turtle,6,upstream,45,1.73,9.8
turtle,6,upstream,46,0.96,8.1
turtle,6,upstream,47,0.73,7.6
turtle,6,upstream,48,1.68,9.6
turtle,6,upstream,49,0.64,7.1
turtle,6,upstream,50,0.41,6
turtle,6,upstream,51,1.81,10.1
turtle,6,upstream,52,0.34,6
turtle,6,upstream,53,0.91,8.4
turtle,6,upstream,54,1.28,9
turtle,6,upstream,55,3.17,10.9
turtle,6,upstream,56,0.95,8.2
turtle,6,upstream,57,1.66,9.2
turtle,6,upstream,58,0.38,6.1
turtle,6,upstream,59,1.86,10.2
turtle,6,upstream,60,3.35,10.8
turtle,6,upstream,61,0.93,8
turtle,6,upstream,62,2,10.3
turtle,6,upstream,63,0.52,6.6
turtle,6,upstream,64,0.8,7.5
turtle,6,upstream,65,0.82,8
turtle,6,upstream,66,0.84,8.1
turtle,6,upstream,67,2.1,10.4
turtle,6,upstream,68,0.54,6.7
turtle,6,upstream,69,1.53,9.3
turtle,6,upstream,70,1.48,9.2
turtle,6,upstream,71,0.6,7
turtle,6,upstream,72,1.39,9.2
turtle,6,upstream,73,1.78,10.3
turtle,6,upstream,74,0.5,6.5
turtle,6,upstream,75,0.96,8
turtle,6,upstream,76,0.97,8.1
turtle,6,upstream,77,2.06,10.6
turtle,6,upstream,78,1.3,8.1
turtle,6,upstream,79,0.57,6.9
turtle,6,upstream,80,1.12,8.3
turtle,6,upstream,81,2.61,9.9
turtle,6,upstream,82,2.18,10.3
turtle,6,upstream,83,1.24,8.8
turtle,6,upstream,84,1.58,8.4
turtle,6,upstream,85,1.69,8.7
turtle,6,upstream,86,0.91,7.2
turtle,6,upstream,87,1.35,8.8
turtle,6,upstream,88,1.01,8.3
turtle,6,upstream,89,2.03,10.1
turtle,6,upstream,90,0.56,6.9
turtle,6,upstream,91,0.62,7.1
turtle,6,upstream,92,1.33,9.2
turtle,6,upstream,93,1.69,8.8
turtle,6,upstream,94,0.48,6.5
turtle,6,upstream,95,1.89,10.5
turtle,6,upstream,96,0.39,6.2
turtle,6,upstream,97,1.76,10
turtle,6,upstream,98,1.71,10.1
turtle,6,upstream,99,1.5,8.4
turtle,6,upstream,100,0.8,7.9
turtle,6,upstream,101,1.36,8.9
turtle,6,upstream,102,1.25,7.9
turtle,6,upstream,103,0.58,7.7
turtle,6,upstream,104,2.53,10.1
turtle,6,upstream,105,1.46,9.2
turtle,6,upstream,106,0.49,6.6
turtle,6,upstream,107,1.82,10.1
turtle,6,upstream,108,1.95,9.3
turtle,6,upstream,109,1.86,10.1
turtle,6,upstream,110,0.41,6
turtle,6,upstream,111,1.37,9.9
turtle,6,upstream,112,1.7,8.7
turtle,6,upstream,113,2.27,10.5
turtle,6,upstream,114,0.84,8
turtle,6,upstream,115,0.37,6.1
turtle,6,upstream,116,0.64,6.3
turtle,6,upstream,117,0.82,7.7
turtle,6,upstream,118,2.19,10.7
turtle,6,upstream,119,1.25,8.8
turtle,6,upstream,120,2.16,10.4
turtle,6,upstream,121,1.29,8.7
turtle,6,upstream,122,0.67,7.2
turtle,6,upstream,123,0.8,7.5
turtle,6,upstream,124,1.22,8.9
turtle,6,upstream,125,0.59,7.2
turtle,6,upstream,126,2.2,10.6
turtle,6,upstream,127,0.67,7.4
turtle,6,upstream,128,1.16,7.6
turtle,6,upstream,129,2.23,10.9
turtle,6,upstream,130,1.93,9.5
turtle,6,upstream,131,2.19,10.7
turtle,6,upstream,132,2.26,10.9
